Name,Rtg,Pos,Card,Nation,PAC,SHO,PAS,DRI,DEF,PHY,Link
Lee Han Saem,58,CB,bronze,Korea Republic,61,24,54,43,59,64,https://wefut.com/player/13/10227/lee-han-saem
Oh Ban Suk,58,CB,bronze,Korea Republic,62,24,26,27,61,70,https://wefut.com/player/13/10217/oh-ban-suk
Kieran Felix,58,LB,bronze,France,70,45,56,61,56,57,https://wefut.com/player/13/10196/kieran-felix
Lucas Dawson,58,RM,bronze,England,75,49,55,60,38,44,https://wefut.com/player/13/10185/lucas-dawson
Simon Falette,58,CB,bronze,France,57,31,47,40,58,67,https://wefut.com/player/13/10098/simon-falette
Ko Kwang Min,58,CAM,bronze,Korea Republic,74,52,54,59,42,41,https://wefut.com/player/13/10078/ko-kwang-min
Wilfried Zahibo,58,CM,bronze,France,68,50,63,53,52,52,https://wefut.com/player/13/10048/wilfried-zahibo
Sanjin Prcić,58,CM,bronze,Bosnia Herzegovina,63,51,62,61,46,50,https://wefut.com/player/13/10042/sanjin-prcic
Ernesto Reyes,58,CB,bronze,Mexico,49,31,32,43,58,64,https://wefut.com/player/13/10036/ernesto-reyes
Bryan Verboom,58,RB,bronze,Belgium,75,39,54,54,58,63,https://wefut.com/player/13/10019/bryan-verboom
Luke Shaw,58,LB,bronze,England,70,32,52,60,58,54,https://wefut.com/player/13/10011/luke-shaw
Yannick Aguemon,58,LM,bronze,France,69,61,55,62,35,54,https://wefut.com/player/13/10005/yannick-aguemon
Nicola Murru,58,LB,bronze,Italy,53,29,46,52,57,52,https://wefut.com/player/13/10002/nicola-murru
Jordan Fauque,58,RB,bronze,France,63,27,54,44,58,52,https://wefut.com/player/13/9986/jordan-fauque
Alexander Juel Andersen,58,RB,bronze,Denmark,65,40,58,57,57,58,https://wefut.com/player/13/9939/alexander-juel-andersen
Jason Adesanya,58,ST,bronze,Belgium,67,55,49,62,32,58,https://wefut.com/player/13/9924/jason-adesanya
Seanan Clucas,58,CM,bronze,Northern Ireland,66,50,59,57,56,57,https://wefut.com/player/13/9905/seanan-clucas
Jason Buaillon,58,RB,bronze,France,64,39,52,56,60,51,https://wefut.com/player/13/9895/jason-buaillon
Kim Tae Yeon,58,CDM,bronze,Korea Republic,64,43,60,61,58,58,https://wefut.com/player/13/9889/kim-tae-yeon
John Egan,58,CB,bronze,Republic of Ireland,67,35,38,52,59,60,https://wefut.com/player/13/9820/john-egan
Mergim Brahimi,58,CAM,bronze,Serbia,66,45,51,60,46,48,https://wefut.com/player/13/9804/mergim-brahimi
Kane Hemmings,58,ST,bronze,England,66,53,46,58,29,63,https://wefut.com/player/13/9790/kane-hemmings
Dylan De Belder,58,ST,bronze,Belgium,67,58,47,61,34,61,https://wefut.com/player/13/9730/dylan-de-belder
Anton Forrester,58,ST,bronze,England,56,56,42,52,33,58,https://wefut.com/player/13/9675/anton-forrester
Mamadou Camara,58,CB,bronze,France,68,23,34,41,62,67,https://wefut.com/player/13/9638/mamadou-camara
Mathias Gehrt,58,CAM,bronze,Denmark,65,44,47,64,34,45,https://wefut.com/player/13/9625/mathias-gehrt
Serkan Çiftçi,58,ST,bronze,Austria,75,52,41,56,37,62,https://wefut.com/player/13/9623/serkan-ciftci
Jules Schwadorf,58,LM,bronze,Germany,59,54,58,66,32,44,https://wefut.com/player/13/9611/jules-schwadorf
Leon van Dijk,58,RB,bronze,Netherlands,64,47,57,61,58,52,https://wefut.com/player/13/9604/leon-van-dijk
Deniz Aycicek,58,CAM,bronze,Germany,61,46,56,62,48,56,https://wefut.com/player/13/9573/deniz-aycicek
Josué Balamandji,58,RW,bronze,Central African Rep.,78,57,47,62,34,34,https://wefut.com/player/13/9559/josue-balamandji
Mark Janssen,58,ST,bronze,Netherlands,63,56,55,62,42,58,https://wefut.com/player/13/9496/mark-janssen
Bobby Reid,58,CM,bronze,England,77,51,61,67,49,48,https://wefut.com/player/13/9486/bobby-reid
Jake Barker-Daish,58,CAM,bronze,Australia,74,38,46,64,38,39,https://wefut.com/player/13/9437/jake-barker-daish
Britt Assombalonga,58,ST,bronze,DR Congo,76,56,52,61,44,56,https://wefut.com/player/13/9435/britt-assombalonga
Lee Woong Hee,58,RB,bronze,Korea Republic,65,28,51,56,58,61,https://wefut.com/player/13/9370/lee-woong-hee
Jang Hyuk Jin,58,CAM,bronze,Korea Republic,69,51,59,56,53,44,https://wefut.com/player/13/9366/jang-hyuk-jin
Kim Dae Yeol,58,CAM,bronze,Korea Republic,63,55,62,57,47,58,https://wefut.com/player/13/9361/kim-dae-yeol
Park Tae Su,58,CB,bronze,Korea Republic,39,33,33,35,60,54,https://wefut.com/player/13/9354/park-tae-su
Yoon Dong Min,58,CF,bronze,Korea Republic,67,57,44,58,52,45,https://wefut.com/player/13/9347/yoon-dong-min
Kim Pyung Rae,58,CM,bronze,Korea Republic,65,52,60,63,52,55,https://wefut.com/player/13/9325/kim-pyung-rae
Conor McCormack,58,CM,bronze,Republic of Ireland,67,55,59,56,53,50,https://wefut.com/player/13/9262/conor-mccormack
Luke Young,58,CM,bronze,England,60,38,56,56,50,51,https://wefut.com/player/13/9254/luke-young
Daniel Keat,58,CM,bronze,New Zealand,65,51,57,59,57,52,https://wefut.com/player/13/9230/daniel-keat
Ivar Erlien Furu,58,CB,bronze,Norway,52,38,54,47,57,64,https://wefut.com/player/13/9224/ivar-erlien-furu
Josue Soto,58,RM,bronze,United States,70,53,58,56,47,56,https://wefut.com/player/13/9177/josue-soto
Park Hyun,58,CM,bronze,Korea Republic,75,58,58,61,53,58,https://wefut.com/player/13/9165/park-hyun
Michael Tetteh,58,LM,bronze,Ghana,77,55,57,58,58,62,https://wefut.com/player/13/9083/michael-tetteh
Chris Chantler,58,LM,bronze,England,75,50,59,54,55,57,https://wefut.com/player/13/9049/chris-chantler
Colin Rolfe,58,ST,bronze,United States,62,55,49,57,46,65,https://wefut.com/player/13/9045/colin-rolfe
Kevin Kraus,58,CB,bronze,Germany,43,34,46,35,58,64,https://wefut.com/player/13/9032/kevin-kraus
Blair Adams,58,LB,bronze,England,66,21,36,29,63,56,https://wefut.com/player/13/9021/blair-adams
Daniel Lafferty,58,LB,bronze,Northern Ireland,72,47,53,57,56,60,https://wefut.com/player/13/8988/daniel-lafferty
Mohamed Camara,58,ST,bronze,France,74,57,40,62,29,53,https://wefut.com/player/13/8974/mohamed-camara
Tom Barkhuizen,58,ST,bronze,England,77,54,38,56,32,57,https://wefut.com/player/13/8925/tom-barkhuizen
Mickaël Le Bihan,58,RB,bronze,France,64,38,53,52,58,60,https://wefut.com/player/13/8908/mickael-le-bihan
Brad McDonald,58,LB,bronze,Australia,74,45,52,61,57,55,https://wefut.com/player/13/8855/brad-mcdonald
Kieron Freeman,58,RB,bronze,Wales,63,46,53,57,57,59,https://wefut.com/player/13/8840/kieron-freeman
Ryan Watson,58,CAM,bronze,England,61,45,56,67,38,48,https://wefut.com/player/13/8819/ryan-watson
Dardan Rexhepi,58,ST,bronze,Sweden,72,59,40,65,44,47,https://wefut.com/player/13/8791/dardan-rexhepi
Lee Hyun Ho,58,CAM,bronze,Korea Republic,68,53,55,56,40,50,https://wefut.com/player/13/8774/lee-hyun-ho
Karim El Hany,58,CAM,bronze,France,69,54,56,65,37,53,https://wefut.com/player/13/8721/karim-el-hany
Daniel Alfei,58,RB,bronze,Wales,59,43,51,52,61,57,https://wefut.com/player/13/8697/daniel-alfei
Lee Lucas,58,CM,bronze,Wales,64,50,59,57,54,50,https://wefut.com/player/13/8696/lee-lucas
Shamil Mirzaev,58,ST,bronze,Russia,70,53,51,65,34,56,https://wefut.com/player/13/8631/shamil-mirzaev
Endogan Adili,58,ST,bronze,Switzerland,69,51,50,65,37,47,https://wefut.com/player/13/8616/endogan-adili
Collin Quaner,58,RW,bronze,Germany,75,54,51,59,38,60,https://wefut.com/player/13/8558/collin-quaner
Yacoub Meité,58,CDM,bronze,Ivory Coast,56,39,47,47,60,65,https://wefut.com/player/13/8492/yacoub-meite
Michael Gregoritsch,58,ST,bronze,Austria,62,53,42,56,31,53,https://wefut.com/player/13/8470/michael-gregoritsch
Rafaël Dias,58,LM,bronze,Portugal,68,50,53,58,41,43,https://wefut.com/player/13/8294/rafael-dias
Guillaume Legras,58,CDM,bronze,France,59,34,55,45,58,46,https://wefut.com/player/13/8244/guillaume-legras
Ismaël Keita,58,CM,bronze,Mali,70,44,59,63,61,60,https://wefut.com/player/13/8217/ismael-keita
Jake Taylor,58,CM,bronze,Wales,74,55,59,63,46,55,https://wefut.com/player/13/8173/jake-taylor
Vincent Acapandié,58,RB,bronze,France,75,46,52,56,59,63,https://wefut.com/player/13/8157/vincent-acapandie
George Francomb,58,RB,bronze,England,65,35,55,54,59,52,https://wefut.com/player/13/8122/george-francomb
Jonas Martin,58,CAM,bronze,France,61,53,57,58,43,56,https://wefut.com/player/13/8087/jonas-martin
Andrew Wiedeman,58,RM,bronze,United States,64,56,56,57,59,67,https://wefut.com/player/13/8075/andrew-wiedeman
Serdar Gürler,58,CAM,bronze,Turkey,68,50,52,61,42,56,https://wefut.com/player/13/7988/serdar-gurler
James Hurst,58,RB,bronze,England,68,44,54,47,57,54,https://wefut.com/player/13/7912/james-hurst
Diego Antón,58,ST,bronze,Spain,71,54,30,57,36,58,https://wefut.com/player/13/7891/diego-anton
Josh Scott,58,ST,bronze,England,70,53,46,49,44,70,https://wefut.com/player/13/7885/josh-scott
Harry Davis,58,CB,bronze,England,48,24,37,40,57,66,https://wefut.com/player/13/7881/harry-davis
Darryl Westlake,58,RB,bronze,England,71,21,56,60,59,58,https://wefut.com/player/13/7811/darryl-westlake
Jack Hingert,58,RB,bronze,Australia,73,35,60,61,57,54,https://wefut.com/player/13/7758/jack-hingert
Thorsten Schick,58,RM,bronze,Austria,76,57,52,61,56,61,https://wefut.com/player/13/7755/thorsten-schick
Conor Hourihane,58,CM,bronze,Republic of Ireland,63,42,60,57,53,57,https://wefut.com/player/13/7752/conor-hourihane
Rocky Visconte,58,LW,bronze,Australia,76,48,54,61,43,49,https://wefut.com/player/13/7715/rocky-visconte
Matthew Lund,58,CDM,bronze,Northern Ireland,66,51,58,53,59,68,https://wefut.com/player/13/7590/matthew-lund
Nicolas Seguin,58,CB,bronze,France,56,31,48,33,60,59,https://wefut.com/player/13/7560/nicolas-seguin
Maxime Le Marchand,58,LB,bronze,France,59,30,49,43,61,60,https://wefut.com/player/13/7501/maxime-le-marchand
Andy Corbett,58,RB,bronze,England,68,30,37,29,64,60,https://wefut.com/player/13/7493/andy-corbett
Rhyan Grant,58,RB,bronze,Australia,71,50,56,57,59,54,https://wefut.com/player/13/7366/rhyan-grant
Yu Ji No,58,LM,bronze,Korea Republic,71,38,54,59,46,54,https://wefut.com/player/13/7311/yu-ji-no
Back Jong Hwan,58,RM,bronze,Korea Republic,63,49,59,60,45,58,https://wefut.com/player/13/7292/back-jong-hwan
Park Min,58,CB,bronze,Korea Republic,50,47,45,51,56,64,https://wefut.com/player/13/7285/park-min
Lee Sang Don,58,RB,bronze,Korea Republic,62,46,44,52,60,56,https://wefut.com/player/13/7240/lee-sang-don
Choi Jin Soo,58,RW,bronze,Korea Republic,76,49,50,57,47,60,https://wefut.com/player/13/7239/choi-jin-soo
Rob Kiernan,58,CB,bronze,Republic of Ireland,65,30,52,39,56,65,https://wefut.com/player/13/7144/rob-kiernan
Scot Bennett,58,CM,bronze,England,49,49,59,55,56,67,https://wefut.com/player/13/6952/scot-bennett
Mattia Minesso,58,CF,bronze,Italy,62,55,52,61,38,55,https://wefut.com/player/13/6945/mattia-minesso
Dani Castellano,58,LB,bronze,Spain,73,50,57,64,57,52,https://wefut.com/player/13/6922/dani-castellano
Michel Avanzini,58,RM,bronze,Switzerland,70,48,54,57,54,54,https://wefut.com/player/13/6905/michel-avanzini
Curtis Main,58,ST,bronze,England,55,57,46,52,37,54,https://wefut.com/player/13/6886/curtis-main
Dermot McCaffrey,58,CB,bronze,Northern Ireland,54,23,43,28,59,61,https://wefut.com/player/13/6654/dermot-mccaffrey
Enrique López,58,LM,bronze,Mexico,72,48,56,58,41,52,https://wefut.com/player/13/6590/enrique-lopez
Alexandre Coeff,58,CM,bronze,France,67,44,55,56,50,54,https://wefut.com/player/13/6560/alexandre-coeff
Bryan Jordan,58,RM,bronze,United States,77,53,51,61,56,63,https://wefut.com/player/13/6415/bryan-jordan
Kim Min Soo,58,LW,bronze,Korea Republic,62,54,50,60,39,50,https://wefut.com/player/13/6340/kim-min-soo
Kim Myung Woon,58,ST,bronze,Korea Republic,64,54,62,59,50,53,https://wefut.com/player/13/6332/kim-myung-woon
Adam Coombes,58,ST,bronze,England,70,56,36,54,33,62,https://wefut.com/player/13/6120/adam-coombes
Christopher Fagan,58,ST,bronze,Republic of Ireland,72,58,46,57,30,57,https://wefut.com/player/13/6091/christopher-fagan
Choi Hyun Yun,58,RW,bronze,Korea Republic,65,50,54,61,55,54,https://wefut.com/player/13/6017/choi-hyun-yun
Tommy Høiland,58,ST,bronze,Norway,71,55,33,49,36,62,https://wefut.com/player/13/5980/tommy-hoiland
Danny Blanchett,58,LB,bronze,England,72,29,48,42,57,64,https://wefut.com/player/13/5952/danny-blanchett
Simon Madden,58,RB,bronze,Republic of Ireland,63,43,54,48,57,58,https://wefut.com/player/13/5951/simon-madden
Jonathan Franks,58,RM,bronze,England,73,56,51,60,36,55,https://wefut.com/player/13/5928/jonathan-franks
Jérôme Thiesson,58,RB,bronze,Switzerland,64,52,58,55,60,61,https://wefut.com/player/13/5917/jerome-thiesson
Simone Gozzi,58,RB,bronze,Italy,51,34,48,51,64,65,https://wefut.com/player/13/5889/simone-gozzi
Mark Ellis,58,CB,bronze,England,65,19,37,41,59,60,https://wefut.com/player/13/5844/mark-ellis
Patrick Kavanagh,58,RM,bronze,Republic of Ireland,70,51,55,58,39,53,https://wefut.com/player/13/5726/patrick-kavanagh
Nathan Luscombe,58,LM,bronze,England,66,44,59,65,39,58,https://wefut.com/player/13/5714/nathan-luscombe
Robbie Weir,58,CM,bronze,Northern Ireland,65,55,62,58,47,57,https://wefut.com/player/13/5706/robbie-weir
Mathieu Baudry,58,CB,bronze,France,61,31,44,32,56,66,https://wefut.com/player/13/5543/mathieu-baudry
Alfie Potter,58,RM,bronze,England,74,43,53,61,42,50,https://wefut.com/player/13/5496/alfie-potter
Johan Oremo,58,ST,bronze,Sweden,64,55,49,55,44,62,https://wefut.com/player/13/5480/johan-oremo
Greg Bolger,58,CM,bronze,Republic of Ireland,60,55,59,56,55,54,https://wefut.com/player/13/5453/greg-bolger
Iarfhlaith Davoren,58,LB,bronze,Republic of Ireland,72,49,53,56,57,60,https://wefut.com/player/13/5404/iarfhlaith-davoren
Romain Armand,58,ST,bronze,France,66,53,39,58,35,64,https://wefut.com/player/13/5398/romain-armand
Jon Nurse,58,ST,bronze,Barbados,77,54,43,57,44,64,https://wefut.com/player/13/5354/jon-nurse
Billy Celeski,58,CM,bronze,Australia,69,51,56,63,56,44,https://wefut.com/player/13/5321/billy-celeski
Mark Rossiter,58,RB,bronze,Republic of Ireland,64,44,58,50,59,61,https://wefut.com/player/13/5267/mark-rossiter
Conor Powell,58,LB,bronze,Republic of Ireland,71,39,53,57,56,54,https://wefut.com/player/13/5266/conor-powell
Ty Harden,58,CB,bronze,United States,50,25,46,46,61,58,https://wefut.com/player/13/5265/ty-harden
Evan McMillan,58,CB,bronze,Republic of Ireland,52,36,42,26,59,58,https://wefut.com/player/13/5248/evan-mcmillan
Mike De Silva,58,CAM,bronze,Belgium,68,56,55,64,36,39,https://wefut.com/player/13/5243/mike-de-silva
Krzysztof Król,58,LB,bronze,Poland,65,46,51,47,61,60,https://wefut.com/player/13/5100/krzysztof-krol
Scott Jamieson,58,LB,bronze,Australia,70,46,55,62,56,51,https://wefut.com/player/13/5076/scott-jamieson
Paul Turnbull,58,CM,bronze,England,71,45,53,58,59,56,https://wefut.com/player/13/4949/paul-turnbull
Lorenzo Pasqualini,58,LB,bronze,Italy,72,33,55,49,56,50,https://wefut.com/player/13/4934/lorenzo-pasqualini
Stefan Glarner,58,RM,bronze,Switzerland,66,49,57,57,56,50,https://wefut.com/player/13/4904/stefan-glarner
Dean Heffernan,58,LB,bronze,Australia,73,54,59,57,55,61,https://wefut.com/player/13/4748/dean-heffernan
Jamie Lowry,58,CM,bronze,England,67,41,64,50,59,56,https://wefut.com/player/13/4737/jamie-lowry
Kim Tae Yoon,58,RB,bronze,Korea Republic,56,38,59,46,62,60,https://wefut.com/player/13/4613/kim-tae-yoon
Danny Racchi,58,RM,bronze,England,73,49,54,56,48,58,https://wefut.com/player/13/4484/danny-racchi
Luke Howell,58,CM,bronze,England,65,38,58,58,60,61,https://wefut.com/player/13/4473/luke-howell
James Meredith,58,LB,bronze,Australia,75,28,53,49,56,53,https://wefut.com/player/13/4422/james-meredith
Davide Carcuro,58,CDM,bronze,Italy,63,50,59,58,56,61,https://wefut.com/player/13/4375/davide-carcuro
Sam Williams,58,ST,bronze,Wales,51,55,42,47,46,66,https://wefut.com/player/13/4290/sam-williams
Jamie Adams,58,CM,bronze,Scotland,70,37,59,57,59,62,https://wefut.com/player/13/4234/jamie-adams
Daryl Kavanagh,58,ST,bronze,Republic of Ireland,64,56,56,58,31,70,https://wefut.com/player/13/4228/daryl-kavanagh
Dean Howell,58,LB,bronze,England,75,54,51,58,58,56,https://wefut.com/player/13/4212/dean-howell
Roy O'Donovan,58,ST,bronze,Republic of Ireland,75,57,49,62,33,50,https://wefut.com/player/13/4157/roy-o-donovan
Ruaidhri Higgins,58,CM,bronze,Northern Ireland,55,58,61,53,58,62,https://wefut.com/player/13/4150/ruaidhri-higgins
Jiri Lenko,58,LB,bronze,Czech Republic,61,39,42,41,62,52,https://wefut.com/player/13/3881/jiri-lenko
Rory Loy,58,ST,bronze,Scotland,73,49,53,59,34,69,https://wefut.com/player/13/3797/rory-loy
Mark Bradley,58,RB,bronze,Wales,66,47,60,56,56,67,https://wefut.com/player/13/3764/mark-bradley
Alan Keane,58,RB,bronze,Republic of Ireland,64,43,50,42,59,62,https://wefut.com/player/13/3731/alan-keane
Sergey Kuznetsov,58,CM,bronze,Russia,59,48,56,57,57,64,https://wefut.com/player/13/3725/sergey-kuznetsov
Derek Pender,58,RB,bronze,Republic of Ireland,67,43,55,53,57,62,https://wefut.com/player/13/3680/derek-pender
Lesly Malouda,58,LB,bronze,France,70,43,58,63,56,47,https://wefut.com/player/13/3362/lesly-malouda
Marco Hämmerli,58,LB,bronze,Switzerland,68,49,62,55,58,54,https://wefut.com/player/13/3005/marco-hammerli
Jérôme Sonnerat,58,LB,bronze,France,67,37,53,57,61,58,https://wefut.com/player/13/2944/jerome-sonnerat
Yoon Won Il,58,LB,bronze,Korea Republic,66,48,56,60,57,58,https://wefut.com/player/13/2699/yoon-won-il
Rodrigo,58,LM,bronze,Brazil,50,49,63,53,61,55,https://wefut.com/player/13/2657/rodrigo
David Hunt,58,CM,bronze,England,61,36,61,53,61,49,https://wefut.com/player/13/2595/david-hunt
Dale Tonge,58,RB,bronze,England,63,42,57,56,59,62,https://wefut.com/player/13/2556/dale-tonge
Aaron Webster,58,LB,bronze,England,62,22,56,49,59,66,https://wefut.com/player/13/2498/aaron-webster
Sékou Baradji,58,CDM,bronze,France,56,43,52,47,60,63,https://wefut.com/player/13/2472/sekou-baradji
Oliver Risser,58,CM,bronze,Namibia,62,49,58,54,58,61,https://wefut.com/player/13/2459/oliver-risser
David Mulcahy,58,CDM,bronze,Republic of Ireland,54,50,56,51,57,61,https://wefut.com/player/13/2413/david-mulcahy
Patrick Sullivan,58,RB,bronze,Republic of Ireland,54,48,58,48,57,55,https://wefut.com/player/13/2406/patrick-sullivan
Declan O'Brien,58,ST,bronze,Republic of Ireland,66,59,53,55,32,56,https://wefut.com/player/13/2403/declan-o-brien
Patryk Rachwał,58,CM,bronze,Poland,65,53,57,58,60,51,https://wefut.com/player/13/2320/patryk-rachwal
Muhamed Demiri,58,LM,bronze,FYR Macedonia,59,53,60,61,53,56,https://wefut.com/player/13/2123/muhamed-demiri
Michele Polverino,58,RM,bronze,Liechtenstein,59,46,51,64,57,58,https://wefut.com/player/13/2111/michele-polverino
Stewart Drummond,58,CM,bronze,England,50,60,59,58,55,64,https://wefut.com/player/13/2040/stewart-drummond
Iain Davidson,58,CM,bronze,Scotland,60,39,64,65,58,58,https://wefut.com/player/13/1969/iain-davidson
Chung Kyung Ho,58,CB,bronze,Korea Republic,60,60,61,58,59,61,https://wefut.com/player/13/1886/chung-kyung-ho
Nicky Hunt,58,RB,bronze,England,55,39,55,52,57,63,https://wefut.com/player/13/1711/nicky-hunt
Julien Outrebon,58,CB,bronze,France,53,45,49,40,52,59,https://wefut.com/player/13/1256/julien-outrebon
Kristján Örn Sigurdsson,58,CB,bronze,Iceland,77,35,51,37,54,68,https://wefut.com/player/13/1040/kristjan-orn-sigurdsson
Richard Spong,58,CDM,bronze,Sweden,59,47,44,43,65,60,https://wefut.com/player/13/1011/richard-spong
Tony Capaldi,58,LB,bronze,Northern Ireland,59,27,44,49,61,67,https://wefut.com/player/13/1002/tony-capaldi
Ibrahim Tall,58,RB,bronze,France,53,35,57,45,59,70,https://wefut.com/player/13/885/ibrahim-tall
Neil Harris,58,ST,bronze,England,46,60,36,45,40,67,https://wefut.com/player/13/801/neil-harris
Jonas Henriksson,58,RM,bronze,Sweden,64,59,52,51,53,61,https://wefut.com/player/13/517/jonas-henriksson
Richard Logan,58,ST,bronze,England,53,56,46,52,42,67,https://wefut.com/player/13/273/richard-logan
Thomas Holm,58,CM,bronze,Norway,60,46,58,46,61,66,https://wefut.com/player/13/113/thomas-holm
Kevin Ellison,58,LM,bronze,England,53,62,51,64,50,69,https://wefut.com/player/13/86/kevin-ellison
Peter Vincenti,57,LM,bronzerare,England,66,53,54,52,55,65,https://wefut.com/player/13/13782/peter-vincenti
Byron Harrison,57,ST,bronzerare,England,66,54,40,53,37,60,https://wefut.com/player/13/12759/byron-harrison
Martin Pusic,57,LM,bronzerare,Austria,64,62,52,62,37,58,https://wefut.com/player/13/11943/martin-pusic
Rohan Ince,57,CB,bronzerare,England,63,25,47,26,57,60,https://wefut.com/player/13/11549/rohan-ince
Majed Abu Yabis,57,LM,bronzerare,Saudi Arabia,81,49,48,56,31,56,https://wefut.com/player/13/10996/majed-abu-yabis
Peter Pöllhuber,57,CB,bronzerare,Austria,38,24,30,35,57,71,https://wefut.com/player/13/10913/peter-pollhuber
Maher Othman,57,CAM,bronzerare,Saudi Arabia,84,46,50,70,30,41,https://wefut.com/player/13/10818/maher-othman
Sakhile Hlongwa,57,ST,bronzerare,South Africa,74,49,33,62,30,57,https://wefut.com/player/13/10734/sakhile-hlongwa
Kgotso Moleko,57,RB,bronzerare,South Africa,76,45,62,69,55,44,https://wefut.com/player/13/10732/kgotso-moleko
Hussein Shuwaish,57,CB,bronzerare,Saudi Arabia,60,25,37,30,55,63,https://wefut.com/player/13/10542/hussein-shuwaish
Majed Hazazi,57,RB,bronzerare,Saudi Arabia,80,45,58,55,55,46,https://wefut.com/player/13/10519/majed-hazazi
Carlo Chueca del Rio,57,CAM,bronzerare,Peru,72,49,52,68,30,43,https://wefut.com/player/13/10410/carlo-chueca-del-rio
Arturo González,57,CAM,bronzerare,Mexico,62,46,67,60,44,50,https://wefut.com/player/13/10273/arturo-gonzalez
Ryan Brunt,57,ST,bronzerare,England,81,48,31,54,32,67,https://wefut.com/player/13/10096/ryan-brunt
Jack Deaman,57,CB,bronzerare,England,70,37,49,36,54,63,https://wefut.com/player/13/10015/jack-deaman
Martin Pusic,57,LM,bronzerare,Austria,64,62,52,62,37,58,https://wefut.com/player/13/9925/martin-pusic
Lewis Toshney,57,CB,bronzerare,Scotland,62,28,35,53,58,60,https://wefut.com/player/13/9870/lewis-toshney
Rohan Ince,57,CB,bronzerare,England,63,25,47,26,57,60,https://wefut.com/player/13/9686/rohan-ince
Tugrul Erat,57,ST,bronzerare,Turkey,52,58,44,58,35,55,https://wefut.com/player/13/9619/tugrul-erat
David Schloffer,57,ST,bronzerare,Austria,84,58,49,69,31,52,https://wefut.com/player/13/9530/david-schloffer
Matt Smith,57,ST,bronzerare,England,60,53,45,43,36,68,https://wefut.com/player/13/9520/matt-smith
Aaron Horton,57,ST,bronzerare,United States,84,55,44,62,34,53,https://wefut.com/player/13/9500/aaron-horton
Daryl Horgan,57,RM,bronzerare,Republic of Ireland,81,48,51,57,28,58,https://wefut.com/player/13/9244/daryl-horgan
Ben Williamson,57,ST,bronzerare,England,79,52,30,56,30,42,https://wefut.com/player/13/9231/ben-williamson
Byron Harrison,57,ST,bronzerare,England,66,54,40,53,37,60,https://wefut.com/player/13/9074/byron-harrison
Miroslav Slavov,57,ST,bronzerare,Ukraine,76,53,31,48,44,60,https://wefut.com/player/13/8927/miroslav-slavov
Andrai Jones,57,RB,bronzerare,England,79,28,45,53,56,62,https://wefut.com/player/13/8597/andrai-jones
Marvin Potzmann,57,LM,bronzerare,Austria,69,58,52,59,50,54,https://wefut.com/player/13/8566/marvin-potzmann
Ciaran Kilduff,57,ST,bronzerare,Republic of Ireland,71,54,34,54,34,62,https://wefut.com/player/13/8363/ciaran-kilduff
Kieran Waters,57,LM,bronzerare,Republic of Ireland,80,51,54,56,42,54,https://wefut.com/player/13/8250/kieran-waters
Aristote Nsiala,57,CB,bronzerare,DR Congo,70,34,54,40,56,65,https://wefut.com/player/13/8015/aristote-nsiala
Benjamin Totori,57,RW,bronzerare,Solomon Islands,81,56,40,64,30,54,https://wefut.com/player/13/7964/benjamin-totori
Ryan Doble,57,ST,bronzerare,Wales,71,54,43,60,29,57,https://wefut.com/player/13/7880/ryan-doble
Mat Mitchel-King,57,CB,bronzerare,England,51,23,32,29,61,57,https://wefut.com/player/13/7712/mat-mitchel-king
Hannes Stiller,57,CF,bronzerare,Sweden,48,57,42,49,45,80,https://wefut.com/player/13/7699/hannes-stiller
Ashley Hemmings,57,LM,bronzerare,England,85,48,50,62,38,58,https://wefut.com/player/13/7594/ashley-hemmings
Jake Kelly,57,ST,bronzerare,Republic of Ireland,90,50,49,58,31,56,https://wefut.com/player/13/7447/jake-kelly
Bradden Inman,57,CM,bronzerare,Scotland,57,60,69,61,32,39,https://wefut.com/player/13/7145/bradden-inman
Scott Boden,57,ST,bronzerare,England,84,50,49,56,42,57,https://wefut.com/player/13/6874/scott-boden
Nicholas Bignall,57,ST,bronzerare,England,84,49,44,60,37,60,https://wefut.com/player/13/6723/nicholas-bignall
Mickaël Collorédo,57,CF,bronzerare,France,50,61,47,53,35,56,https://wefut.com/player/13/6585/mickael-colloredo
Karl Moore,57,LM,bronzerare,Republic of Ireland,80,44,52,58,30,52,https://wefut.com/player/13/6149/karl-moore
Peter Vincenti,57,CAM,bronzerare,England,66,53,54,52,55,65,https://wefut.com/player/13/6037/peter-vincenti
Adnan Haidar,57,CM,bronzerare,Norway,67,47,56,69,55,50,https://wefut.com/player/13/5636/adnan-haidar
Tahj Minniecon,57,ST,bronzerare,Australia,76,54,40,72,34,31,https://wefut.com/player/13/5473/tahj-minniecon
Sultan Al Bargan,57,CDM,bronzerare,Saudi Arabia,68,59,56,51,57,57,https://wefut.com/player/13/5301/sultan-al-bargan
Aidan Price,57,CB,bronzerare,Republic of Ireland,32,29,40,25,60,59,https://wefut.com/player/13/5250/aidan-price
Jennison Myrie-Williams,57,LM,bronzerare,England,78,47,52,59,40,40,https://wefut.com/player/13/4070/jennison-myrie-williams
Ishmel Demontagnac,57,LM,bronzerare,England,88,45,49,65,33,43,https://wefut.com/player/13/4067/ishmel-demontagnac
Luke Prosser,57,CB,bronzerare,England,63,25,47,42,55,69,https://wefut.com/player/13/4063/luke-prosser
